true_label,pred_class_id,confidence_byte
safe_driving,0,244
safe_driving,2,216
safe_driving,0,179
safe_driving,0,175
safe_driving,0,160
safe_driving,0,204
phone_left,4,234
phone_left,4,250
phone_left,4,225
phone_left,4,185
phone_left,4,242
phone_left,4,160
phone_left,4,181
phone_left,4,252
phone_left,4,232
phone_left,4,130
phone_left,4,189
phone_left,4,235
safe_driving,0,249
safe_driving,0,221
safe_driving,0,224
safe_driving,0,251
safe_driving,0,229
safe_driving,0,152
safe_driving,0,219
safe_driving,0,128
safe_driving,3,170
safe_driving,0,250
